Book Id,Title,Author,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Date Read,Date Added,Bookshelves,Read Count
17234658,"A Thousand Pieces of You (Firebird, #1)",Claudia Gray,62278967,9.78006E+12,4,3.9,Harper Teen,Hardcover,368,2014,17-09-17,14-01-17,breakfast-at-tiffany-s,1
17287009,Humans of New York,Brandon Stanton,1250038820,9.78125E+12,0,4.49,St. Martin's Press,Hardcover,304,2013,,09-09-17,to-read,0
28763485,The Sun Is Also a Star,Nicola Yoon,553496689,9.78055E+12,5,4.02,Delacorte Press,Hardcover,384,2016,09-09-17,24-11-16,breakfast-at-tiffany-s,1
32075671,"The Hate U Give (The Hate U Give, #1)",Angie Thomas,,,4,4.5,Balzer + Bray,Hardcover,454,2017,03-09-17,15-04-17,holly-golightly,1
25785649,The Way I Used to Be,Amber   Smith,1481449354,9.78148E+12,4,4.19,Margaret K. McElderry Books,Hardcover,367,2016,20-08-17,19-08-17,breakfast-at-tiffany-s,1
25756328,"Love & Gelato (Love & Gelato, #1)",Jenna Evans Welch,1481432540,9.78148E+12,0,4.13,Simon Pulse,Hardcover,389,2016,,19-08-17,to-read,0
5148,A Separate Peace,John Knowles,,,3,3.59,Scribner,Paperback,208,2003,17-08-17,27-05-17,mount-crumpit,1
17333223,The Goldfinch,Donna Tartt,316055433,9.78032E+12,0,3.92,"Little, Brown",Hardcover,771,2013,,13-08-17,to-read,0
33950893,Thirteen Reasons Why,Jay Asher,141387777,9.78014E+12,5,3.87,Penguin,Paperback,320,2017,22-07-17,22-07-17,breakfast-at-tiffany-s,1
27213329,Grit: The Power of Passion and Perseverance,Angela Duckworth,1443442313,9.78144E+12,0,4.08,Collins,Hardcover,277,2016,,11-07-17,to-read,0
17657148,You'll Get Through This: Hope and Help for Your Turbulent Times,Max Lucado,849948479,9.78085E+12,0,4.32,Thomas Nelson,Hardcover,240,2013,,11-07-17,to-read,0
36072,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,743269519,9.78074E+12,0,4.14,Free Press,Paperback,372,2004,,11-07-17,to-read,0
4406,East of Eden,John Steinbeck,142000655,9.78014E+12,0,4.39,Penguin Books,Paperback,601,2002,,11-07-17,to-read,0
28449207,"Strange the Dreamer (Strange the Dreamer, #1)",Laini Taylor,316341681,9.78032E+12,0,4.28,"Little, Brown Books for Young Readers",Hardcover,544,2017,,10-07-17,to-read,0
22055262,"A Darker Shade of Magic (Shades of Magic, #1)",V.E. Schwab,765376458,9.78077E+12,0,4.07,Tor Books,Hardcover,400,2015,,10-07-17,to-read,0
17675462,"The Raven Boys (The Raven Cycle, #1)",Maggie Stiefvater,545424925,9.78055E+12,0,4.05,Scholastic Press,Hardcover,409,2012,,10-07-17,to-read,0
